procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4882576 330940 3391168    0    0     7    94   32   27 19  7 74  0  0
 0  0      0 4882504 330944 3391300    0    0     0    68  513  734  1  1 98  0  0
 0  0      0 4882440 330944 3391300    0    0     0     0  380  544  1  1 99  0  0
 0  0      0 4882504 330944 3391300    0    0     0     0  344  493  1  1 99  0  0
 0  0      0 4882504 330944 3391300    0    0     0     0  378  511  1  1 99  0  0
 0  0      0 4882568 330944 3391300    0    0     0     0  386  514  1  1 98  0  0
 1  0      0 4882504 330952 3391300    0    0     0    20  382  512  1  0 99  0  0
 0  0      0 4882504 330952 3391300    0    0     0     0  381  517  1  1 99  0  0
 0  0      0 4882536 330952 3391304    0    0     0     0  519  612  3  1 96  0  0
 0  0      0 4882504 330952 3391304    0    0     0     0  341  482  1  1 98  0  0
 1  0      0 4882504 330952 3391304    0    0     0     0  359  501  1  1 99  0  0
